State/UT,Number of Schools,All Categories of students - Boys,All Categories of students - Girls,All Categories of students - Total,SC Students - Boys,SC Students - Girls,SC Students - Total,ST Students - Boys,ST Students - Girls,ST Students - Total
Andhra Pradesh,224,3106,2871,5977,501,316,817,182,110,292
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0
Assam,1,85,82,167,9,7,16,3,4,7
Bihar,59,252,43,295,35,7,42,5,1,6
Chhattisgarh,7,254,327,581,64,43,107,181,316,497
Goa,1,24,176,200,0,0,0,0,0,0
Gujarat,431,13536,17892,31428,948,1252,2200,2030,2684,4714
Haryana,18,1411,763,2174,322,113,435,0,0,0
Himachal Pradesh,12,150,110,260,20,15,35,36,39,75
Jammu and Kashmir,14,2155,890,3045,2,1,3,20,6,26
Jharkhand,25,283,246,529,14,18,32,15,171,186
Karnataka,968,19591,24494,44085,5129,5192,10321,1629,1535,3164
Kerala,210,2442,16317,18759,122,815,937,40,102,142
Madhya Pradesh,25,1685,805,2490,0,0,0,0,0,0
Maharashtra,738,28976,26167,55143,3774,2678,6452,2879,1248,4127
Manipur,1,28,58,86,0,0,0,2,0,2
Meghalaya,13,135,159,294,0,0,0,135,159,294
Mizoram,8,1894,1435,3329,0,0,0,1894,1435,3329
Nagaland,6,86,187,273,0,0,0,82,185,267
Orissa,63,3640,2535,6175,551,289,840,721,198,919
Punjab,17,307,891,1198,71,212,283,0,0,0
Rajasthan,48,2215,2389,4604,315,369,684,139,159,298
Sikkim,2,29,114,143,9,18,27,6,15,21
Tamil Nadu,750,2040,2626,4666,0,0,0,0,0,0
Tripura,4,405,277,682,73,55,128,217,115,332
Uttar Pradesh,70,5313,4347,9660,434,198,632,7,4,11
Uttarakhand,13,1534,1670,3204,328,372,700,86,90,176
West Bengal,138,11177,4994,16171,2459,1098,3557,671,300,971
Andaman and Nicobar Islands,1,35,84,119,0,0,0,5,16,21
Chandigarh,3,43,323,366,12,37,49,0,1,1
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0
Daman and Diu,1,0,105,105,0,13,13,0,17,17
Delhi,38,9813,1717,11530,1906,656,2562,237,33,270
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Puducherry,44,919,2137,3056,284,426,710,0,0,0
