Table Name,State Code,District Code,Tehsil Code,Area Name,Mother Tongue Code,Mother Tongue,Total - Persons,Total - Males,Total - Females,Rural - Persons,Rural - Males,Rural - Females,Urban - Persons,Urban - Males,Urban - Females
C0116,09,00,0000,State - UTTAR PRADESH  09,001000,1 ASSAMESE,7922,4390,3532,416,194,222,7506,4196,3310
C0116,09,00,0000,State - UTTAR PRADESH  09,001002, 1 ASSAMESE,7913,4383,3530,416,194,222,7497,4189,3308
C0116,09,00,0000,State - UTTAR PRADESH  09,001999,1 Others,9,7,2,0,0,0,9,7,2
C0116,09,00,0000,State - UTTAR PRADESH  09,002000,2 BENGALI,181634,93972,87662,101351,52091,49260,80283,41881,38402
C0116,09,00,0000,State - UTTAR PRADESH  09,002004, 1 BENGALI,181608,93955,87653,101339,52083,49256,80269,41872,38397
C0116,09,00,0000,State - UTTAR PRADESH  09,002009, 2 HAIJONG/HAJONG,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,002023, 3 RAJBANGSI,2,1,1,0,0,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,002999,2 Others,23,15,8,12,8,4,11,7,4
C0116,09,00,0000,State - UTTAR PRADESH  09,003000,3 BODO,58,37,21,3,0,3,55,37,18
C0116,09,00,0000,State - UTTAR PRADESH  09,003001, 1 BODO,58,37,21,3,0,3,55,37,18
C0116,09,00,0000,State - UTTAR PRADESH  09,004000,4 DOGRI,4464,3796,668,101,74,27,4363,3722,641
C0116,09,00,0000,State - UTTAR PRADESH  09,004001, 1 DOGRI,4464,3796,668,101,74,27,4363,3722,641
C0116,09,00,0000,State - UTTAR PRADESH  09,005000,5 GUJARATI,8169,4376,3793,1891,995,896,6278,3381,2897
C0116,09,00,0000,State - UTTAR PRADESH  09,005011, 1 GUJARATI,7914,4245,3669,1828,966,862,6086,3279,2807
C0116,09,00,0000,State - UTTAR PRADESH  09,005012, 2 GUJRAO/GUJRAU,65,34,31,2,2,0,63,32,31
C0116,09,00,0000,State - UTTAR PRADESH  09,005036, 3 SAURASHTRA/SAURASHTRI,18,9,9,0,0,0,18,9,9
C0116,09,00,0000,State - UTTAR PRADESH  09,005999,5 Others,172,88,84,61,27,34,111,61,50
C0116,09,00,0000,State - UTTAR PRADESH  09,006000,6 HINDI,151770131,79998968,71771163,125008211,65686160,59322051,26761920,14312808,12449112
C0116,09,00,0000,State - UTTAR PRADESH  09,006008, 1 AWADHI,2502330,1278687,1223643,2431591,1241682,1189909,70739,37005,33734
C0116,09,00,0000,State - UTTAR PRADESH  09,006016, 2 BAGHELI/BAGHEL KHANDI,146,69,77,18,4,14,128,65,63
C0116,09,00,0000,State - UTTAR PRADESH  09,006026, 3 BANJARI,1987,1081,906,1981,1077,904,6,4,2
C0116,09,00,0000,State - UTTAR PRADESH  09,006038, 4 BHADRAWAHI,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,006045, 5 BHOJPURI,10994863,5552474,5442389,10423182,5251844,5171338,571681,300630,271051
C0116,09,00,0000,State - UTTAR PRADESH  09,006059, 6 BRAJBHASHA,127922,69383,58539,119792,64678,55114,8130,4705,3425
C0116,09,00,0000,State - UTTAR PRADESH  09,006060, 7 BUNDELI/BUNDELKHANDI,174305,91988,82317,153425,80929,72496,20880,11059,9821
C0116,09,00,0000,State - UTTAR PRADESH  09,006072, 8 CHHATTISGARHI,28919,14930,13989,24219,12439,11780,4700,2491,2209
C0116,09,00,0000,State - UTTAR PRADESH  09,006095, 9 GARHWALI,43813,24213,19600,31684,17478,14206,12129,6735,5394
C0116,09,00,0000,State - UTTAR PRADESH  09,006103, 10 GOJRI,4,3,1,0,0,0,4,3,1
C0116,09,00,0000,State - UTTAR PRADESH  09,006117, 11 HARYANVI,4299,2156,2143,1614,557,1057,2685,1599,1086
C0116,09,00,0000,State - UTTAR PRADESH  09,006118, 12 HINDI,137823602,72927392,64896210,111784935,58996621,52788314,26038667,13930771,12107896
C0116,09,00,0000,State - UTTAR PRADESH  09,006127, 13 JAUNSARI,1186,635,551,974,505,469,212,130,82
C0116,09,00,0000,State - UTTAR PRADESH  09,006138, 14 KANGRI,61,36,25,13,8,5,48,28,20
C0116,09,00,0000,State - UTTAR PRADESH  09,006148, 15 KHARI BOLI,17669,9320,8349,6540,3370,3170,11129,5950,5179
C0116,09,00,0000,State - UTTAR PRADESH  09,006153, 16 KHORTHA/KHOTTA,5,4,1,1,1,0,4,3,1
C0116,09,00,0000,State - UTTAR PRADESH  09,006162, 17 KUMAUNI,9561,5253,4308,1613,864,749,7948,4389,3559
C0116,09,00,0000,State - UTTAR PRADESH  09,006165, 18 KURMALI THAR,6,4,2,0,0,0,6,4,2
C0116,09,00,0000,State - UTTAR PRADESH  09,006167, 19 LABANI,326,156,170,326,156,170,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,006172, 20 LARIA,8,2,6,8,2,6,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,006179, 21 MAGADHI/MAGAHI,500,266,234,211,114,97,289,152,137
C0116,09,00,0000,State - UTTAR PRADESH  09,006187, 22 MALVI,6,4,2,1,1,0,5,3,2
C0116,09,00,0000,State - UTTAR PRADESH  09,006192, 23 MARWARI,5159,2768,2391,2559,1380,1179,2600,1388,1212
C0116,09,00,0000,State - UTTAR PRADESH  09,006195, 24 MEWARI,1311,728,583,885,509,376,426,219,207
C0116,09,00,0000,State - UTTAR PRADESH  09,006196, 25 MEWATI,463,250,213,460,249,211,3,1,2
C0116,09,00,0000,State - UTTAR PRADESH  09,006204, 26 NAGPURIA,464,231,233,453,225,228,11,6,5
C0116,09,00,0000,State - UTTAR PRADESH  09,006210, 27 NIMADI,2,2,0,0,0,0,2,2,0
C0116,09,00,0000,State - UTTAR PRADESH  09,006213, 28 PAHARI,1140,629,511,165,96,69,975,533,442
C0116,09,00,0000,State - UTTAR PRADESH  09,006224, 29 PANCH PARGANIA,40,24,16,40,24,16,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,006242, 30 RAJASTHANI,8018,4473,3545,4089,2212,1877,3929,2261,1668
C0116,09,00,0000,State - UTTAR PRADESH  09,006251, 31 SADAN/SADRI,821,420,401,758,392,366,63,28,35
C0116,09,00,0000,State - UTTAR PRADESH  09,006259, 32 SIRMAURI,4,2,2,4,2,2,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,006999,6 Others,21190,11385,9805,16670,8741,7929,4520,2644,1876
C0116,09,00,0000,State - UTTAR PRADESH  09,007000,7 KANNADA,2799,1674,1125,787,438,349,2012,1236,776
C0116,09,00,0000,State - UTTAR PRADESH  09,007002, 1 BADAGA,14,1,13,0,0,0,14,1,13
C0116,09,00,0000,State - UTTAR PRADESH  09,007013, 2 KANNADA,2669,1610,1059,721,405,316,1948,1205,743
C0116,09,00,0000,State - UTTAR PRADESH  09,007999,7 Others,116,63,53,66,33,33,50,30,20
C0116,09,00,0000,State - UTTAR PRADESH  09,008000,8 KASHMIRI,3153,1773,1380,209,168,41,2944,1605,1339
C0116,09,00,0000,State - UTTAR PRADESH  09,008002, 1 KASHMIRI,3139,1767,1372,209,168,41,2930,1599,1331
C0116,09,00,0000,State - UTTAR PRADESH  09,008999,8 Others,14,6,8,0,0,0,14,6,8
C0116,09,00,0000,State - UTTAR PRADESH  09,009000,9 KONKANI,323,185,138,103,56,47,220,129,91
C0116,09,00,0000,State - UTTAR PRADESH  09,009010, 1 KONKANI,290,163,127,98,52,46,192,111,81
C0116,09,00,0000,State - UTTAR PRADESH  09,009011, 2 KUDUBI/KUDUMBI,5,4,1,5,4,1,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,009013, 3 MALWANI,14,9,5,0,0,0,14,9,5
C0116,09,00,0000,State - UTTAR PRADESH  09,009999,9 Others,14,9,5,0,0,0,14,9,5
C0116,09,00,0000,State - UTTAR PRADESH  09,010000,10 MAITHILI,7224,4335,2889,1166,721,445,6058,3614,2444
C0116,09,00,0000,State - UTTAR PRADESH  09,010006, 1 MAITHILI,7214,4332,2882,1166,721,445,6048,3611,2437
C0116,09,00,0000,State - UTTAR PRADESH  09,010999,10 Others,10,3,7,0,0,0,10,3,7
C0116,09,00,0000,State - UTTAR PRADESH  09,011000,11 MALAYALAM,19683,10110,9573,2148,975,1173,17535,9135,8400
C0116,09,00,0000,State - UTTAR PRADESH  09,011013, 1 MALAYALAM,19355,9932,9423,2078,933,1145,17277,8999,8278
C0116,09,00,0000,State - UTTAR PRADESH  09,011999,11 Others,328,178,150,70,42,28,258,136,122
C0116,09,00,0000,State - UTTAR PRADESH  09,012000,12 MANIPURI,532,397,135,39,31,8,493,366,127
C0116,09,00,0000,State - UTTAR PRADESH  09,012002, 1 MANIPURI,526,391,135,39,31,8,487,360,127
C0116,09,00,0000,State - UTTAR PRADESH  09,012999,12 Others,6,6,0,0,0,0,6,6,0
C0116,09,00,0000,State - UTTAR PRADESH  09,013000,13 MARATHI,13074,7682,5392,1620,826,794,11454,6856,4598
C0116,09,00,0000,State - UTTAR PRADESH  09,013048, 1 MARATHI,12640,7458,5182,1269,653,616,11371,6805,4566
C0116,09,00,0000,State - UTTAR PRADESH  09,013999,13 Others,434,224,210,351,173,178,83,51,32
C0116,09,00,0000,State - UTTAR PRADESH  09,014000,14 NEPALI,263982,145106,118876,204364,110609,93755,59618,34497,25121
C0116,09,00,0000,State - UTTAR PRADESH  09,014009, 1 NEPALI,263935,145073,118862,204343,110597,93746,59592,34476,25116
C0116,09,00,0000,State - UTTAR PRADESH  09,014999,14 Others,47,33,14,21,12,9,26,21,5
C0116,09,00,0000,State - UTTAR PRADESH  09,015000,15 ORIYA,15052,8671,6381,7872,4141,3731,7180,4530,2650
C0116,09,00,0000,State - UTTAR PRADESH  09,015031, 1 ORIYA,14960,8615,6345,7790,4090,3700,7170,4525,2645
C0116,09,00,0000,State - UTTAR PRADESH  09,015042, 2 SAMBALPURI,2,1,1,0,0,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,015999,15 Others,90,55,35,82,51,31,8,4,4
C0116,09,00,0000,State - UTTAR PRADESH  09,016000,16 PUNJABI,523094,276412,246682,336111,177692,158419,186983,98720,88263
C0116,09,00,0000,State - UTTAR PRADESH  09,016001, 1 BAGRI,88,49,39,74,42,32,14,7,7
C0116,09,00,0000,State - UTTAR PRADESH  09,016018, 2 PUNJABI,511711,270416,241295,327177,172976,154201,184534,97440,87094
C0116,09,00,0000,State - UTTAR PRADESH  09,016999,16 Others,11295,5947,5348,8860,4674,4186,2435,1273,1162
C0116,09,00,0000,State - UTTAR PRADESH  09,017000,17 SANSKRIT,7048,3856,3192,5230,2833,2397,1818,1023,795
C0116,09,00,0000,State - UTTAR PRADESH  09,017002, 1 SANSKRIT,7048,3856,3192,5230,2833,2397,1818,1023,795
C0116,09,00,0000,State - UTTAR PRADESH  09,018000,18 SANTALI,491,248,243,315,162,153,176,86,90
C0116,09,00,0000,State - UTTAR PRADESH  09,018013, 1 SANTALI,380,204,176,209,122,87,171,82,89
C0116,09,00,0000,State - UTTAR PRADESH  09,018999,18 Others,111,44,67,106,40,66,5,4,1
C0116,09,00,0000,State - UTTAR PRADESH  09,019000,19 SINDHI,34330,17425,16905,2812,1483,1329,31518,15942,15576
C0116,09,00,0000,State - UTTAR PRADESH  09,019013, 1 SINDHI,34321,17420,16901,2809,1482,1327,31512,15938,15574
C0116,09,00,0000,State - UTTAR PRADESH  09,019999,19 Others,9,5,4,3,1,2,6,4,2
C0116,09,00,0000,State - UTTAR PRADESH  09,020000,20 TAMIL,13665,8128,5537,2950,1775,1175,10715,6353,4362
C0116,09,00,0000,State - UTTAR PRADESH  09,020007, 1 KAIKADI,7,4,3,0,0,0,7,4,3
C0116,09,00,0000,State - UTTAR PRADESH  09,020020, 2 TAMIL,13549,8066,5483,2926,1763,1163,10623,6303,4320
C0116,09,00,0000,State - UTTAR PRADESH  09,020999,20 Others,109,58,51,24,12,12,85,46,39
C0116,09,00,0000,State - UTTAR PRADESH  09,021000,21 TELUGU,7645,4549,3096,792,465,327,6853,4084,2769
C0116,09,00,0000,State - UTTAR PRADESH  09,021035, 1 TELUGU,7550,4499,3051,783,461,322,6767,4038,2729
C0116,09,00,0000,State - UTTAR PRADESH  09,021999,21 Others,95,50,45,9,4,5,86,46,40
C0116,09,00,0000,State - UTTAR PRADESH  09,022000,22 URDU,13272080,6947596,6324484,5954982,3102664,2852318,7317098,3844932,3472166
C0116,09,00,0000,State - UTTAR PRADESH  09,022014, 1 URDU,13272074,6947591,6324483,5954978,3102660,2852318,7317096,3844931,3472165
C0116,09,00,0000,State - UTTAR PRADESH  09,022999,22 Others,6,5,1,4,4,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,023000,23 ADI,10,9,1,3,3,0,7,6,1
C0116,09,00,0000,State - UTTAR PRADESH  09,023002, 1 ADI,3,3,0,0,0,0,3,3,0
C0116,09,00,0000,State - UTTAR PRADESH  09,023999,23 Others,7,6,1,3,3,0,4,3,1
C0116,09,00,0000,State - UTTAR PRADESH  09,024000,24 AFGHANI/KABULI/PASHTO,2,1,1,0,0,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,024001,1,2,1,1,0,0,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,025000,25 ANAL,4,3,1,0,0,0,4,3,1
C0116,09,00,0000,State - UTTAR PRADESH  09,025001, 1 ANAL,4,3,1,0,0,0,4,3,1
C0116,09,00,0000,State - UTTAR PRADESH  09,026000,26 ANGAMI,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,026002, 1 ANGAMI,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,027000,27 AO,7,6,1,0,0,0,7,6,1
C0116,09,00,0000,State - UTTAR PRADESH  09,027001, 1 AO,7,6,1,0,0,0,7,6,1
C0116,09,00,0000,State - UTTAR PRADESH  09,028000,28 ARABIC/ARBI,8493,4386,4107,6703,3450,3253,1790,936,854
C0116,09,00,0000,State - UTTAR PRADESH  09,028001, 1 ARABIC/ARBI,8493,4386,4107,6703,3450,3253,1790,936,854
C0116,09,00,0000,State - UTTAR PRADESH  09,030000,30 BHILI/BHILODI,84,32,52,23,8,15,61,24,37
C0116,09,00,0000,State - UTTAR PRADESH  09,030006, 1 BHILALI,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,030013, 2 DHODIA,5,3,2,0,0,0,5,3,2
C0116,09,00,0000,State - UTTAR PRADESH  09,030019, 3 GARASIA,3,1,2,0,0,0,3,1,2
C0116,09,00,0000,State - UTTAR PRADESH  09,030027, 4 KOKNA/KOKNI/KUKNA,44,12,32,10,2,8,34,10,24
C0116,09,00,0000,State - UTTAR PRADESH  09,030032, 5 MAWCHI,11,5,6,11,5,6,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,030048, 6 RATHI,2,1,1,2,1,1,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,030050, 7 TADAVI,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,030999,30 Others,17,8,9,0,0,0,17,8,9
C0116,09,00,0000,State - UTTAR PRADESH  09,031000,31 BHOTIA,9,4,5,0,0,0,9,4,5
C0116,09,00,0000,State - UTTAR PRADESH  09,031001, 1 BHOTIA,9,4,5,0,0,0,9,4,5
C0116,09,00,0000,State - UTTAR PRADESH  09,032000,32 BHUMIJ,16,9,7,2,2,0,14,7,7
C0116,09,00,0000,State - UTTAR PRADESH  09,032999,32 Others,16,9,7,2,2,0,14,7,7
C0116,09,00,0000,State - UTTAR PRADESH  09,033000,33 BISHNUPURIYA,12,8,4,2,2,0,10,6,4
C0116,09,00,0000,State - UTTAR PRADESH  09,033001, 1 BISHNUPRIYA MANIPURI/MANIPURI BISHNUPRIYA,4,3,1,2,2,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,033999,33 Others,8,5,3,0,0,0,8,5,3
C0116,09,00,0000,State - UTTAR PRADESH  09,037000,37 COORGI/KODAGU,10,6,4,1,1,0,9,5,4
C0116,09,00,0000,State - UTTAR PRADESH  09,037001, 1 COORGI/KODAGU,10,6,4,1,1,0,9,5,4
C0116,09,00,0000,State - UTTAR PRADESH  09,038000,38 DEORI,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,038001, 1 DEORI,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,039000,39 DIMASA,7,5,2,0,0,0,7,5,2
C0116,09,00,0000,State - UTTAR PRADESH  09,039999,39 Others,7,5,2,0,0,0,7,5,2
C0116,09,00,0000,State - UTTAR PRADESH  09,040000,40 ENGLISH,11163,5830,5333,3749,2021,1728,7414,3809,3605
C0116,09,00,0000,State - UTTAR PRADESH  09,040001, 1 ENGLISH,11163,5830,5333,3749,2021,1728,7414,3809,3605
C0116,09,00,0000,State - UTTAR PRADESH  09,041000,41 GADABA,17,8,9,16,7,9,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,041001, 1 GADABA,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,041999,41 Others,16,7,9,16,7,9,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,043000,43 GARO,15,14,1,1,1,0,14,13,1
C0116,09,00,0000,State - UTTAR PRADESH  09,043005, 1 GARO,13,12,1,0,0,0,13,12,1
C0116,09,00,0000,State - UTTAR PRADESH  09,043999,43 Others,2,2,0,1,1,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,044000,44 GONDI,1864,976,888,1695,877,818,169,99,70
C0116,09,00,0000,State - UTTAR PRADESH  09,044006, 1 GONDI,414,201,213,406,195,211,8,6,2
C0116,09,00,0000,State - UTTAR PRADESH  09,044017, 2 MURIA,80,44,36,80,44,36,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,044999,44 Others,1370,731,639,1209,638,571,161,93,68
C0116,09,00,0000,State - UTTAR PRADESH  09,046000,46 HALAM,3,2,1,0,0,0,3,2,1
C0116,09,00,0000,State - UTTAR PRADESH  09,046999,46 Others,3,2,1,0,0,0,3,2,1
C0116,09,00,0000,State - UTTAR PRADESH  09,048000,48 HO,24,12,12,0,0,0,24,12,12
C0116,09,00,0000,State - UTTAR PRADESH  09,048002, 1 HO,24,12,12,0,0,0,24,12,12
C0116,09,00,0000,State - UTTAR PRADESH  09,051000,51 KABUI,7,3,4,6,3,3,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,051003, 1 KABUI,7,3,4,6,3,3,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,052000,52 KARBI / MIKIR,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,052002, 1 KARBI,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,053000,53 KHANDESHI,68,49,19,50,38,12,18,11,7
C0116,09,00,0000,State - UTTAR PRADESH  09,053002, 1 AHIRANI,2,2,0,0,0,0,2,2,0
C0116,09,00,0000,State - UTTAR PRADESH  09,053005, 2 GUJARI,66,47,19,50,38,12,16,9,7
C0116,09,00,0000,State - UTTAR PRADESH  09,054000,54 KHARIA,91,41,50,50,22,28,41,19,22
C0116,09,00,0000,State - UTTAR PRADESH  09,054004, 1 KHARIA,35,17,18,1,1,0,34,16,18
C0116,09,00,0000,State - UTTAR PRADESH  09,054999,54 Others,56,24,32,49,21,28,7,3,4
C0116,09,00,0000,State - UTTAR PRADESH  09,055000,55 KHASI,8,5,3,2,1,1,6,4,2
C0116,09,00,0000,State - UTTAR PRADESH  09,055006, 1 KHASI,8,5,3,2,1,1,6,4,2
C0116,09,00,0000,State - UTTAR PRADESH  09,061000,61 KOCH,3,2,1,1,0,1,2,2,0
C0116,09,00,0000,State - UTTAR PRADESH  09,061002, 1 KOCH,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,061999,61 Others,2,1,1,1,0,1,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,062000,62 KODA/KORA,44,22,22,41,20,21,3,2,1
C0116,09,00,0000,State - UTTAR PRADESH  09,062003, 1 KODA/KORA,9,3,6,8,2,6,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,062999,62 Others,35,19,16,33,18,15,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,064000,64 KOM,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,064001, 1 KOM,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,065000,65 KONDA,42,22,20,42,22,20,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,065999,65 Others,42,22,20,42,22,20,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,068000,68 KORWA,6,4,2,1,0,1,5,4,1
C0116,09,00,0000,State - UTTAR PRADESH  09,068999,68 Others,6,4,2,1,0,1,5,4,1
C0116,09,00,0000,State - UTTAR PRADESH  09,071000,71 KUKI,25,23,2,2,1,1,23,22,1
C0116,09,00,0000,State - UTTAR PRADESH  09,071007, 1 KUKI,25,23,2,2,1,1,23,22,1
C0116,09,00,0000,State - UTTAR PRADESH  09,072000,72 KURUKH/ORAON,2223,1089,1134,2016,980,1036,207,109,98
C0116,09,00,0000,State - UTTAR PRADESH  09,072009, 1 KURUKH/ORAON,2106,1023,1083,1938,943,995,168,80,88
C0116,09,00,0000,State - UTTAR PRADESH  09,072999,72 Others,117,66,51,78,37,41,39,29,10
C0116,09,00,0000,State - UTTAR PRADESH  09,073000,73 LADAKHI,14,8,6,0,0,0,14,8,6
C0116,09,00,0000,State - UTTAR PRADESH  09,073002, 1 LADAKHI,14,8,6,0,0,0,14,8,6
C0116,09,00,0000,State - UTTAR PRADESH  09,075000,75 LAHNDA,155,76,79,8,4,4,147,72,75
C0116,09,00,0000,State - UTTAR PRADESH  09,075012, 1 MULTANI,148,73,75,6,3,3,142,70,72
C0116,09,00,0000,State - UTTAR PRADESH  09,075015, 2 PUNCHHI,1,1,0,1,1,0,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,075999,75 Others,6,2,4,1,0,1,5,2,3
C0116,09,00,0000,State - UTTAR PRADESH  09,078000,78 LEPCHA,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,078001, 1 LEPCHA,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,082000,82 LUSHAI/MIZO,95,79,16,1,1,0,94,78,16
C0116,09,00,0000,State - UTTAR PRADESH  09,082003, 1 LUSHAI/MIZO,95,79,16,1,1,0,94,78,16
C0116,09,00,0000,State - UTTAR PRADESH  09,083000,83 MALTO,3,0,3,0,0,0,3,0,3
C0116,09,00,0000,State - UTTAR PRADESH  09,083999,83 Others,3,0,3,0,0,0,3,0,3
C0116,09,00,0000,State - UTTAR PRADESH  09,086000,86 MIRI/MISHING,4,2,2,0,0,0,4,2,2
C0116,09,00,0000,State - UTTAR PRADESH  09,086003, 1 MIRI/MISHING,4,2,2,0,0,0,4,2,2
C0116,09,00,0000,State - UTTAR PRADESH  09,087000,87 MISHMI,4,3,1,1,0,1,3,3,0
C0116,09,00,0000,State - UTTAR PRADESH  09,087999,87 Others,4,3,1,1,0,1,3,3,0
C0116,09,00,0000,State - UTTAR PRADESH  09,090000,90 MUNDA,1109,615,494,894,472,422,215,143,72
C0116,09,00,0000,State - UTTAR PRADESH  09,090003, 1 KOL,6,2,4,6,2,4,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,090006, 2 MUNDA,210,120,90,94,45,49,116,75,41
C0116,09,00,0000,State - UTTAR PRADESH  09,090999,90 Others,893,493,400,794,425,369,99,68,31
C0116,09,00,0000,State - UTTAR PRADESH  09,091000,91 MUNDARI,418,205,213,298,148,150,120,57,63
C0116,09,00,0000,State - UTTAR PRADESH  09,091004, 1 MUNDARI,413,203,210,298,148,150,115,55,60
C0116,09,00,0000,State - UTTAR PRADESH  09,091999,91 Others,5,2,3,0,0,0,5,2,3
C0116,09,00,0000,State - UTTAR PRADESH  09,092000,92 NICOBARESE,2,1,1,0,0,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,092001, 1 NICOBARESE,2,1,1,0,0,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,093000,93 NISSI/DAFLA,13,7,6,4,1,3,9,6,3
C0116,09,00,0000,State - UTTAR PRADESH  09,093001, 1 APATANI,4,1,3,4,1,3,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,093002, 2 BANGNI,2,1,1,0,0,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,093999,93 Others,7,5,2,0,0,0,7,5,2
C0116,09,00,0000,State - UTTAR PRADESH  09,094000,94 NOCTE,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,094003, 1 NOCTE,1,1,0,0,0,0,1,1,0
